,Date,Price,Open,High,Low,Change %
280,2009-12-03,1.507,1.5044,1.5143,1.5042,0.16%
281,2009-12-02,1.5046,1.5084,1.5111,1.5031,-0.28%
282,2009-12-01,1.5088,1.5006,1.5118,1.497,0.53%
283,2009-11-30,1.5009,1.5011,1.5085,1.4964,0.28%
284,2009-11-27,1.4967,1.5021,1.5024,1.4828,-0.31%
285,2009-11-26,1.5013,1.5132,1.5143,1.4958,-0.84%
286,2009-11-25,1.514,1.496,1.5145,1.4954,1.20%
287,2009-11-24,1.4961,1.4965,1.499,1.4888,-0.03%
288,2009-11-23,1.4966,1.4859,1.5002,1.4832,0.71%
289,2009-11-20,1.4861,1.4924,1.4937,1.4798,-0.38%
290,2009-11-19,1.4918,1.4962,1.4966,1.484,-0.31%
291,2009-11-18,1.4965,1.4875,1.4991,1.4857,0.66%
292,2009-11-17,1.4867,1.4971,1.5,1.4806,-0.71%
293,2009-11-16,1.4973,1.4924,1.5017,1.488,0.38%
294,2009-11-13,1.4917,1.4848,1.4939,1.4826,0.50%
295,2009-11-12,1.4843,1.498,1.5017,1.482,-0.93%
296,2009-11-11,1.4983,1.4985,1.505,1.4953,0.00%
297,2009-11-10,1.4983,1.4996,1.5021,1.4937,-0.07%
298,2009-11-09,1.4994,1.4884,1.5021,1.4851,0.98%
299,2009-11-06,1.4849,1.4869,1.4915,1.4813,-0.22%
300,2009-11-05,1.4881,1.4871,1.4918,1.4808,0.02%
301,2009-11-04,1.4878,1.4731,1.4909,1.4701,1.11%
302,2009-11-03,1.4715,1.4772,1.4811,1.4624,-0.37%
303,2009-11-02,1.4769,1.4713,1.4846,1.4684,0.35%
304,2009-10-30,1.4718,1.4835,1.4861,1.4704,-0.78%
305,2009-10-29,1.4834,1.4714,1.4859,1.4682,0.83%
306,2009-10-28,1.4712,1.4813,1.4843,1.4692,-0.66%
307,2009-10-27,1.4809,1.4862,1.4928,1.477,-0.41%
308,2009-10-26,1.487,1.5,1.5063,1.4844,-0.89%
309,2009-10-23,1.5003,1.5024,1.5063,1.4987,-0.13%
310,2009-10-22,1.5023,1.5,1.504,1.4943,0.09%
311,2009-10-21,1.501,1.4934,1.5048,1.4888,0.48%
312,2009-10-20,1.4939,1.4973,1.4994,1.4882,-0.17%
313,2009-10-19,1.4964,1.4893,1.4979,1.4829,0.39%
314,2009-10-16,1.4906,1.4945,1.497,1.4848,-0.26%
315,2009-10-15,1.4945,1.4935,1.4968,1.4842,0.13%
