"Date","Price","Open","High","Low","Change %"
"Nov 16, 2009","1.4973","1.4924","1.5017","1.4880","0.38%"
"Nov 13, 2009","1.4917","1.4848","1.4939","1.4826","0.50%"
"Nov 12, 2009","1.4843","1.4980","1.5017","1.4820","-0.93%"
"Nov 11, 2009","1.4983","1.4985","1.5050","1.4953","0.00%"
"Nov 10, 2009","1.4983","1.4996","1.5021","1.4937","-0.07%"
"Nov 09, 2009","1.4994","1.4884","1.5021","1.4851","0.98%"
"Nov 06, 2009","1.4849","1.4869","1.4915","1.4813","-0.22%"
"Nov 05, 2009","1.4881","1.4871","1.4918","1.4808","0.02%"
"Nov 04, 2009","1.4878","1.4731","1.4909","1.4701","1.11%"
"Nov 03, 2009","1.4715","1.4772","1.4811","1.4624","-0.37%"
"Nov 02, 2009","1.4769","1.4713","1.4846","1.4684","0.35%"
"Oct 30, 2009","1.4718","1.4835","1.4861","1.4704","-0.78%"
"Oct 29, 2009","1.4834","1.4714","1.4859","1.4682","0.83%"
"Oct 28, 2009","1.4712","1.4813","1.4843","1.4692","-0.66%"
"Oct 27, 2009","1.4809","1.4862","1.4928","1.4770","-0.41%"
"Oct 26, 2009","1.4870","1.5000","1.5063","1.4844","-0.89%"
"Oct 23, 2009","1.5003","1.5024","1.5063","1.4987","-0.13%"
"Oct 22, 2009","1.5023","1.5000","1.5040","1.4943","0.09%"
"Oct 21, 2009","1.5010","1.4934","1.5048","1.4888","0.48%"
"Oct 20, 2009","1.4939","1.4973","1.4994","1.4882","-0.17%"
"Oct 19, 2009","1.4964","1.4893","1.4979","1.4829","0.39%"
"Oct 16, 2009","1.4906","1.4945","1.4970","1.4848","-0.26%"
"Oct 15, 2009","1.4945","1.4935","1.4968","1.4842","0.13%"
"Oct 14, 2009","1.4926","1.4854","1.4948","1.4839","0.45%"
"Oct 13, 2009","1.4859","1.4781","1.4878","1.4760","0.58%"
"Oct 12, 2009","1.4773","1.4724","1.4815","1.4678","0.29%"
"Oct 09, 2009","1.4730","1.4794","1.4798","1.4675","-0.41%"
"Oct 08, 2009","1.4790","1.4688","1.4817","1.4680","0.69%"
"Oct 07, 2009","1.4688","1.4718","1.4739","1.4652","-0.20%"
"Oct 06, 2009","1.4718","1.4648","1.4766","1.4646","0.46%"
"Oct 05, 2009","1.4650","1.4592","1.4671","1.4581","0.54%"
"Oct 02, 2009","1.4572","1.4534","1.4650","1.4482","0.27%"
"Oct 01, 2009","1.4533","1.4638","1.4670","1.4518","-0.70%"
"Sep 30, 2009","1.4636","1.4583","1.4674","1.4575","0.35%"
"Sep 29, 2009","1.4585","1.4619","1.4646","1.4526","-0.25%"
"Sep 28, 2009","1.4621","1.4699","1.4722","1.4560","-0.46%"
"Sep 25, 2009","1.4688","1.4664","1.4726","1.4614","0.18%"
"Sep 24, 2009","1.4661","1.4710","1.4806","1.4628","-0.48%"
"Sep 23, 2009","1.4731","1.4790","1.4844","1.4725","-0.40%"
"Sep 22, 2009","1.4790","1.4679","1.4825","1.4677","0.78%"
